"Reference number",Title,URL,"Date of submission",Countries,"Request proponent","Request proponent URL","Geographical scope",Objective,Sectors,"Cross-sectoral enabler",Approach,"Final type of assistance",Phase,Regions,"Request NDE","Duration range","Budget range",Implementors,"Other partners involved","CTCN Keyword Matches",Description,Planners,"Planners URL","Sustainable Development Goals","Relevant technologies"
2021000021,"Tree Monitoring for Climate Adaptation in the City of Mbombela",https://www.ctc-n.org/technical-assistance/projects/tree-monitoring-climate-adaptation-city-mbombela,"Thu, 06/03/2021","South Africa",,,Sub-national,Adaptation,Forestry,"Governance and planning","Community based, Ecosystems and biodiversity","Technology identification and prioritisation",Review,,"Department of Science and Innovation",,,,,,"Context
The City of Mbombela has been impacted by climate change and drought in particular, which affects tree growth, threatens species and degrades habitat. These impacts have necessitated the planting of drought-resistant trees. The city began planting trees in rural townships in conjunction with the Department of Environment, Forestry & Fisheries, and have involved community members in this work, which also contributes to carbon storage and sequestration efforts. The city has developed an alien species control plan, which works in tandem with tree planting to enable the removal of unwanted vegetation in order to conserve water resources while also contributing to biodiversity. A wetlands inventory also guides this work, as it identifies important wetland areas to preserve for the purposes of disaster risk reduction, climate resilience, water resource management, and biodiversity maintenance.
The municipality is required, according to its Climate Change Strategy, to implement climate actions that contribute to the country’s mitigation commitments. However, since the trees are not monitored, the reports are based on assumptions and often inaccurate. Technology is lacking to monitor tree growth and health, and therefore the city has not been able to track progress over time. 
CTCN Support
The city requires assistance in developing a GIS-based tree monitoring system or tool to monitor tree growth over time and to quantify carbon sequestration. This would accompany the planting of trees in rural areas, housing projects, along streets and in parks. The city is also requesting support in establishing municipal nurseries to supply trees. 
Expected Impact
This type of system would facilitate tree planting and give the city the ability to monitor trees and track growth, tree health and carbon storage over time. Most households and food gardens are owned and managed by women, who would therefore be direct beneficiaries of the program since they are paid stipends to plant trees. There are a multitude of cross-cutting benefits to biodiversity, livelihoods and food provision from additional fruit trees. The city would also benefit culturally from the sharing of indigenous knowledge with the project team on tree species types and observations regarding ecological and tree species changes over the years.",,,"Zero hunger, Good health and well-being, Gender equality, Sustainable cities and communities, Climate action",
2021000022,"Capacity Development for the Deployment of Demand Response (DR) in South Africa to Mitigate against Carbon Emissions and Electricity Supply Shortages",https://www.ctc-n.org/technical-assistance/projects/capacity-development-deployment-demand-response-dr-south-africa,"Thu, 06/03/2021","South Africa","Council for Scientific and Industrial Research","Council for Scientific and Industrial Research",National,Mitigation,"Energy efficiency","Communication and awareness, Economics and financial decision-making, Governance and planning","Endogenous technologies","Feasibility of technology options",Implementation,,"Department of Science and Innovation",,,,,,"Context
South Africa is facing serious electricity supply capacity challenges. Eskom, the largest producer of electricity in South Africa, has resorted to load shedding in order to reduce peak loads, which has resulted in disruptions to businesses and the public. About 90% of electricity supplied in South Africa is produced from coal, rendering coal power plants responsible for around 80% of total emissions in the country. The government approved an Integrated Resource Plan in 2019, detailing the procurement of renewable energy sources up to 2030. According to this resource plan, renewable energy will comprise 37% of the power to be generated by 2030, with wind and solar power among the largest contributors. However, electricity generation from these sources is variable. In order to integrate renewable energy sources into the grid, Eskom and the municipalities need to address the potential load shape challenges while confronting other ongoing challenges such as costly transmission and distribution upgrades, the retirement of old power plants, and the need to design for resilience in the wake of climate change and natural disasters. Demand Response (DR) is becoming an important resource to meet energy demand and flexibility in power systems because it has the potential to reduce peak demand and provide the flexibility for the integration of a high proportion of renewable energy into the power system. Therefore, the current DR programs need to be expanded beyond energy intensive users to include residential and small to medium size industrial and commercial customers. The uptake of the established DR programs thus far has been low.
The barriers to its wider adoption and deployment are not only technological but regulatory. It is important to ensure that electricity consumers understand what DR is, and how they can participate in and benefit from its deployment. An effective communication infrastructure is also necessary to provide connectivity to different energy systems, devices and applications. Standardization is needed, as flexibility cannot be identified and exploited without it, and since this may also be a barrier if investors are concerned about becoming “locked‐in” to a particular supplier, which may result in future sub-optimal decision-making. 
A study is required to assess the operational feasibility, as well as costs and benefits to assess the feasibility of actual DR implementation within the South African grid balancing system. 
CTCN Support
CTCN will provide technical assistance to start the program and build capacity by working with international technical experts. This will include the following:
High‐level economic assessment of demand for DR services from a systems perspective;
DR potential assessment across South Africa;
Assessment of the potential value creation of DR;
Identification of the technology requirements for actual implementation;
Recommendations to resolve regulatory challenges; and
Capacity building and training of the research team. 
Expected Impact
The wider adaptation and implementation of DR in the South African market can have a positive impact on the whole population, including the residential sector, enabling the democratization of the energy sector through the participation of individual households in the electricity market and the ultimate lowering of energy costs. ",,,"Affordable and clean energy",
2021000031,"Establishment of a skimming well gallery system for agricultural use in HDh.Nolhivaranfaru of Maldives",https://www.ctc-n.org/technical-assistance/projects/establishment-skimming-well-gallery-system-agricultural-use,"Thu, 01/28/2021",Maldives,"Water and Sanitation Department, Ministry of Environment, Climate Change and Technology","Water and Sanitation Department, Ministry of Environment, Climate Change and Technology",Sub-national,Adaptation,Water,"Communication and awareness, Governance and planning","Community based, Ecosystems and biodiversity","Piloting and deployment of  technologies in local conditions",Implementation,,"Ministry of Environment, Climate Change and Technology",,,,,,"Context
Water scarcity is one of the biggest challenges in Maldives arising from climate change. Freshwater is the most important water resource in the country; however, it’s quality and quantity are highly affected by climate variations and human activities such as urbanisation of the country and water use for agriculture. Moreover, intrusion of saline water deteriorates the quality of freshwater resources. Existing poor agricultural practices, such as use of dug wells as fertiliser mixing containers which causes leaching of fertilisers into freshwater resources, further intensifies this problem. Depletion of freshwater resources due to uncontrolled usage in the absence of appropriate means to regulate results in the threats to groundwater aquifers on the islands of Maldives.
Excessive groundwater extraction has led to saline water intrusion and reduction of the efficiency of its natural recharge processes. In particular, during drought season, over-pumping can alter the size of the groundwater aquifer and limit recovery to its former size. Therefore, it is vital to develop and deploy an efficient method for groundwater extraction in order to ensure sustainable use of limited water resources with minimum impact on the aquifers in Maldives.
CTCN Support
Design and installation of an infiltration gallery system for groundwater extraction to ensure sustainable use of limited water resources with minimum impact on the aquifers in HDh.Nolhivaranfaru Island.
Expected Results
Through this project, a sustainable groundwater extraction system for agricultural practices will be established, and unpolluted groundwater aquifers will be protected in HDh.Nolhivaranfaru Island.
Findings from the technical assistance would support the country to promote sustainable groundwater extraction and management for agricultural practices in HDh.Nolhivaranfaru Island. In particular, by establishing and operating the infiltration gallery system, it is expected that unpolluted groundwater aquifers would be protected in the island. Moreover, the capacity and knowledge of farming communities in the island and agriculture-related stakeholders on sustainable agricultural practices and water use efficiency for agriculture would be strengthened. Based on findings from the project, it is also expected that point groundwater extraction methods currently used in other islands could be replaced with the proposed infiltration gallery system, which would contribute to increasing the capacity of climate resilience with sustainable water supply for agriculture in Maldives.",,,,
2021000029,"Developing an Institutional Framework for the Energy Efficiency Act and Regulations targeting energy intensive sectors (household and industries) in Nigeria",https://www.ctc-n.org/technical-assistance/projects/developing-institutional-framework-energy-efficiency-act-and,"Thu, 06/24/2021",Nigeria,,,National,Mitigation,"Energy efficiency","Capacity building and training, Governance and planning",,,Implementation,,"Department of Climate Change, Federal Minister of Environment",,,,,,"Context
Nigeria is the largest economy in sub-Saharan Africa, but power sector limitations are constraining further economic development. Being endowed with large oil, gas, hydro and solar resources, the government has the potential to generate more than 12,500 MW of electric power from existing plants, but on most days it is only able to generate around 4,000 MW due to the unavailability of gas, breakdowns, water shortage and grid constraints that result in frequent electricity outages. The average Nigerian firm claims outage related losses equivalent to more than 4% of sales. According to the World Bank’s projection, electricity demand is expected to grow by a factor of 5 until 2035, to almost 530 TWh, which will exacerbate the existing challenges. 
The government has therefore prioritized energy generation, transmission and consumption efficiency as key actions in its Nationally Determined Contributions (NDCs), as there is a need to formulate and implement energy efficiency programs in various sectors to reduce power shortage and also increase the competitiveness of the industrial sector by reducing energy intensity per unit product. Nationally coordinated energy efficiency measures are not yet in place, although several policies exist, and research has been conducted on energy conservation and efficiency, the promotion of energy efficient appliances and light bulbs, and on improved cookstove performance. 
Energy efficiency is important in addressing energy insecurity and meeting present and future energy demands. However, the overarching barrier that must be overcome is the complexity of introducing energy sector reforms across industry, commerce and transport, where activities are highly fragmented.
CTCN Support
The objective is to develop a harmonized framework of regulations that instigate adoption and  implementation of energy efficient technologies and practices in the industrial, commercial and transport sectors. The technical assistance will also support the development of an institutional structure to monitor and report on activities undertaken toward compliance with the regulations.
Anticipated activities include:
Review and analysis of existing energy consumption data, identification of existing regulations and policies that regulate energy use, and the development of a framework for the Energy Efficiency Act (EEA) and regulations;
Development of a methodology to help identify and classify the industrial and household sectors and sub-sectors under the purview of the framework;
Development of the EEA framework, including a curriculum and training modules for energy auditors and managers; and
Proposal for an institutional structure for monitoring and reporting. 
Expected Impact
The developed harmonized framework of regulations will facilitate the adoption and implementation of energy efficient technologies and practices in the industrial and household sectors, bolstered by a monitoring and evaluation framework to track compliance.
This project will contribute to the achievement of Nigeria’s NDC, which prioritizes an economy-wide energy efficiency as a key mitigation measure, with a potential GHG reduction of 179 million tonnes per year in 2030. Nigeria has specifically targeted energy efficiency to reduce overall energy demand and increase the efficiency of existing vehicles and the transport system. 
The process to develop the framework will consider the role of gender in all decision-making and ensure equitable consultation and representation in the process. The framework will be designed based on a gender-differentiated understanding of opportunities and constraints to optimize social and climate impact.",,,"Affordable and clean energy, Decent work and economic growth, Industry, innovation and infrastructure, Climate action",
2021000007,"Technical Capability Enhancement to Promote Waste-to-Energy Technology in Viet Nam",https://www.ctc-n.org/technical-assistance/projects/technical-capability-enhancement-promote-waste-energy-technology-viet,"Tue, 03/16/2021",Vietnam,,,National,Mitigation,"Waste management","Capacity building and training, Communication and awareness","Community based, Endogenous technologies, Gender","Technology identification and prioritisation",Implementation,,"Ministry of Natural Resources and Environment of Vietnam",,,"Global Environment Centre Foundation",,,"Context
In recent years, Vietnam has accumulated an increased amount of municipal solid waste (MSW) due to rapid growth of the population and economy. The country has recognized the waste management sector as one of the key areas for climate change mitigation measures. Conventional waste treatment practices such as open dumping into landfill sites is one of Vietnam’s major GHG emissions sources due to its generation of methane. Its NDC includes a target to “Utilize landfill gas and solid waste combustion for power generation.”
In order to reach its goals, Vietnam seeks to introduce and deploy Waste to Energy (WtE) with a waste incineration process to decrease the volume of waste delivered to landfill sites, and  thermal recycling technology to supply energy such as electricity. WtE provides multiple benefits such as GHG emissions reductions, prolonged lifetime of final waste disposal sites, reduced odor and insect problems near landfill sites, and energy security. However, WtE technology has not been deployed widely due to a lack of technology evaluation capacity, expertise and experience. The Vietnam Environmental Administration (VEA) of the Ministry of Natural Resources and Environment (MONRE) requires technical support in developing the criteria for waste treatment technologies, while local municipalities need evaluation criteria practices.
CTCN Support
Guidance and support in developing technology evaluation criteria to assist the Ministry and other entities on application of criteria to model WtE projects in order to disseminate WtE technology.
Expected Results
Reduced GHG emissions in the waste sector;
Contribution to the establishment of a healthy society and economy, increased energy security, with private investment mobilization and public-private partnership; and
Increased ambition of the country’s NDC through the introduction of advanced modern low-carbon technologies that can become an integral part of successive updated NDCs.",,,"Good health and well-being, Affordable and clean energy, Industry, innovation and infrastructure, Climate action",
2021000035,"A feasibility study for the utilization of solar energy for sugarcane irrigation pumping to reduce GHG emissions from the use of carbon rich imported electricity for emerging commercial small cane growers in the Eswatini",https://www.ctc-n.org/technical-assistance/projects/feasibility-study-utilization-solar-energy-sugarcane-irrigation,"Wed, 07/14/2021",Eswatini,,,Sub-national,"Adaptation, Mitigation",Agriculture,"Economics and financial decision-making",,,Implementation,,"Ministry Tourism and Environmental Affairs, Meteorology Department",,,,,,"Context
The Kingdom of Eswatini is a landlocked country facing numerous challenges including poverty, food insecurity, and vulnerability to climate-related disasters. The economy of Eswatini is largely agro-based, making it even more vulnerable to climate change. Livestock and crop production under rain-fed conditions have declined by over 30% on average over the last few farming seasons due to changes in rainfall patterns and increasing frequency of droughts. The government has identified sugarcane as a strategic crop that can be utilized to alleviate poverty, especially in the poverty-stricken areas of the Lowveld, with the necessary technical support to create viable businesses. However, the sugar production sector is most at risk from climate induced changes. 
Eswatini’s total greenhouse gas (GHG) emissions have been steadily rising since 1990 primarily driven by increasing emissions from the Agriculture, Forestry and Land Use (AFOLU) sector, which comprised 48% of total emissions in 2018. To reduce the sugar sector’s contribution to the country’s emissions, a shift to solar energy has been prioritised by the Eswatini Sugar Association. 
In an effort to reduce climate vulnerability and empower farmers with economically viable livelihoods that build upon an existing successful commercial sugarcane production agribusiness, the government of Eswatini established the Eswatini Water and Agricultural Development Enterprise (ESWADE) in 1999 to facilitate the planning and implementation of farmer owned and managed sugarcane farms. Since 1999, the Government through ESWADE has developed two major smallholder irrigation projects in the country, and since then, several other small-scale growers have been established. The vast majority of the farmer owned sugarcane companies are connected to the national electricity grid. The electricity requirement for cane farming is focused on pumping water to cane fields through pressurised irrigation systems such as centre pivots, sprinklers and drip. However, irrigation is the major water user in Eswatini as it takes up to 96% of total water consumption, and all sugarcane is irrigated due to a lack of sufficient rain in the cane growing areas. Combined with the increasing GHG emissions tied to grid electricity purchased from South Africa’s electricity generator, ESKOM, the energy costs of cane farmers are averaging over 24% of total operational costs and rising steadily. 
According to the Sustainable Energy for All Country Action Plan (2014), there are untapped market opportunities (valued USD 13m in the sugarcane sector alone) for renewable energy investments. The majority of cane farmers are looking for alternatives in the form of renewable energy to remain competitive while reducing their carbon footprint. However, they face economic barriers to investment in new energy technologies, including purchasing costs and obtaining local solar system designers and suppliers. Most farmers cannot directly invest in renewable energy as they cannot meet debt-equity requirements of banks and also lack the institutional capacity to implement large-scale solarisation of farms. There has also been limited awareness about the advantages of solar power across the cane farming communities, though this is changing.  
The government would like to increase the coverage of solar PV as an alternative source of energy for irrigation systems while reducing emissions. Supporting farmers in this shift can reduce their operational costs while achieving these national goals.
CTCN Support
Undertake a feasibility study of the opportunities to solarise the irrigation systems of small-scale cane growers;
Consult with four local (and three South African) solar system developers and present a summary of their services, conditions and financing plans; 
Undertake a preliminary assessment of the solar energy needs for each farming company based on historical energy use profiles and develop a ranking system to prioritise farmer companies that would benefit the most from reduced energy costs;
Undertake a solar design assessment to provide an indicative system configuration for each farming company; 
Develop policy guidelines for the Government of Eswatini to promote solarized irrigation systems for sugar cane growers; 
Develop financing instruments to support this application of technology;
Prepare a generic funding proposal including the full variety of funding proposal requirements.
Expected Impact
An intervention to solarise sugar cane energy demand would represent an 11% saving nationally on energy use and 4.5% of national GHG emissions. The project will raise awareness of solar and service suppliers that will be required to support greater women’s participation. Women farmers and entrepreneurs will, through the development of a gender action plan during the writing of funding proposals, be encouraged and targeted to participate in the project.
Eswatini’s NDC aims for renewable energy resources to comprise 50% of the energy mix by 2022, thus its commitment can be partially met by reducing the emissions linked with electricity usage for irrigation. The project will support the following targets indicated in the NDC: 
Increasing the contribution of agriculture to economic development, to support both food security and exports;
Implementing small scale, decentralized renewable energy technologies to improve energy access in rural areas; and 
Doubling the share of renewable energy in the national energy mix.",,,"Zero hunger, Affordable and clean energy, Decent work and economic growth, Industry, innovation and infrastructure, Climate action",
2021000028,"Development of a Multi-Hazard Platform for forecasting local level climate extremes and physical hazards for Iskandar Malaysia",https://www.ctc-n.org/technical-assistance/projects/development-multi-hazard-platform-forecasting-local-level-climate,"Fri, 04/30/2021",Malaysia,"Iskandar Regional Development Authority (IRDA)","Iskandar Regional Development Authority (IRDA)",Sub-national,Adaptation,"Early warning and Environmental assessment","Communication and awareness, Governance and planning","Disaster risk reduction","Decision-making tools and/or information provision",Design,,"Ministry of Environment and Water",,,,,,"Context
A flurry of recent disasters in Malaysia has prompted increased concern over the impacts of extreme temperatures, strong winds and air pollution. These events have also revealed poor coordination and weak forecasting capacity for the prediction of floods and landslides, which has become increasingly important for major cities faced with the effects of climate change. 
The coastal communities of the Iskandar Malaysia (IM) economic region are at risk of flooding due to sea-level rise. Flooding causes the most frequent and significant damage and is responsible for a significant number of casualties, disease epidemics, property and crop damage. Among ASEAN member states, Malaysia’s population was the most exposed to floods between July 2012 and January 2019. Climate-related disasters are also posing huge challenges to public disaster management, which affects vulnerable groups. Ensuring clean water supply and optimal sewage services is particularly difficult during disasters like flooding, which can render food and water-borne diseases a threat. Climate change is also accelerating the rate of natural coastal erosion due to rising sea levels and there is the issue of haze, which has become an almost annual occurrence and is even more severe during the prolonged dry period associated with the El Nino phenomenon.
Malaysia has developed national plans to enhance resilience against climate change, but the approach has been largely reactive and focused on structural mitigation measures such as canalization of rivers, raising river embankments and building multi-purpose dams. Better prediction is needed to enable proactive action to be taken.
One of the main barriers to the development of improved models is a lack of contextualized data from detailed local risk assessment, as data acquisition is challenging for various parameters such as terrain, infrastructure, pollution sources, geology, weather history and geological events. The institutional framework to address climate change is also fragmented and requires capacity development at the local level. Furthermore, most models were developed in middle and higher latitudes, while the meteorological and atmospheric conditions in tropical regions can be much more complex. Therefore, local observations need to be incorporated into models to produce localized forecast information. Lastly, coastal zone management in IM requires expertise in big data analytics and capacity building for scenario planning and forecasting climate risks.
CTCN Support
The project will adapt carefully selected meteorological and hazard models for tropical conditions in IM and integrate them into the Iskandar Malaysia Multi-Hazard Platform (MHP), a common platform, which will be developed using technology similar to the Kuala Lumpur Multi-Hazard Platform. The platform will be used by the five local authorities in IM to support the management and communication of risks and strengthen the management of flash floods, landslides, sinkholes, strong winds, urban heat and air pollution in the region, thereby enhancing disaster resilience.
Expected Impact
This city-level forecasting system will provide the impetus for social innovation by facilitating community-level disaster preparedness and empowering special groups to participate in disaster risk reduction. Ultimately, the MHP will support increased emergency planning capacities through heightened awareness of critical events and disasters while protecting vulnerable communities and their livelihoods. 
Additionally, the MHP could support decision-making toward adaptive and holistic coastal zone management via specialist workshops and outreach events to enhance community awareness, and also through the provision of susceptibility maps for coastal hazards and floods. This could also include systematic monitoring and control measures to protect the existing mangrove areas, which have decreased at an alarming rate over the last few decades due to the development of the coastal region, intensified erosion, and the expansion of aquaculture activities. 
Seeking Experts
The UN Climate Technology Centre and Network (CTCN) is inviting its Network members to assist Malaysia. Interested Network members are invited to submit a form, ‘Expression of Interest(EoI)’. For those who are interested, please visit the UNGM Portal ( https://www.ungm.org/Public/Notice/170115) and click the blue button ‘Express Interest’ on your top right. All applicants should also be registered (free of charge) at United Nations Global Marketplace (www.ungm.org). 
In case you are not a CTCN network member yet, you may still apply (further details are found in the document).
Please note that this request for expression of interest (EOI) is not an invitation for submission of tenders. Its purpose is to identify companies that would be interested and eligible to participate in the solicitation when issued. Vendors that are deemed qualified upon completion of an objective evaluation of their EOI submission will receive the final tender solicitation documents.",,,"Good health and well-being, Clean water and sanitation, Climate action",
2021000030,"Developing Integrated Water Resources Management (IWRM) Models for Hill Ecosystem in Nepal",https://www.ctc-n.org/technical-assistance/projects/developing-integrated-water-resources-management-iwrm-models-hill,"Thu, 04/29/2021",Nepal,"Environment Culture Agriculture Research and Development Society Nepal (ECARDS-Nepal)","Environment Culture Agriculture Research and Development Society Nepal (ECARDS-Nepal)",Sub-national,Adaptation,Water,"Communication and awareness","Community based, Disaster risk reduction, Ecosystems and biodiversity, Gender","Piloting and deployment of  technologies in local conditions",Implementation,,"Ministry of Forests and Environment",,,,,,"Context
Nepal is highly vulnerable to climate impacts, especially in the water sector where resources have been significantly depleted. One of the most susceptible districts is Ramechap, located above the Sunkoshi River, where the land is extremely dry and decreasing precipitation is severely impacting farmers. Water resources are especially vulnerable at high elevations where they are more sensitive to variability in rainfall patterns and timing, which contribute to increased drought frequency. 
Water resources for irrigation are the most profoundly affected, as landslides and debris flow have destroyed channels and stopped the water flow in streams, also lessening the availability of water for agricultural purposes. People have begun to look for other methods to fulfill their water needs, but efforts to address the major problem of disappearing springs and hill water have been insufficient, as various institutions have neglected water scarcity due to their limited capacity. 
Adaptation programs focusing on integrated water resources management are urgently needed. Barriers to the implementation of adaptation programs addressing watershed and hydrology include lacking financial resources, access to information and relevant technical data, infrastructure, skills and expertise, the lack of skilled personnel for the installation and operation of technologies, high levels of debt, and social practices, beliefs and norms that prevent the acceptance of climate adaptation options. 
The proposed project will address issues related to integrated water resources management for the Hill ecosystem through supporting the design of reviving ponds to increase water availability, providing irrigation for agriculture, and implementing agroforestry practices to support the livelihoods of local people.
CTCN Support
The project aims to address water scarcity problems by rehabilitating the traditional ponds in the community and developing new water management technology and infrastructure for water harvesting, groundwater recharge and solar lifting. Other activities include the formation of a farmers group and capacity development for agroforestry using harvested water, promotion of sprinkler and drip irrigation technology, and the dissemination of findings, including technical aspects, cost-benefit analyses, and operational guidelines for short and long-term income generation activities connected with the technologies.
Expected Impact
The project will contribute to increased livelihoods, biodiversity and social development in the form of knowledge transfer to the community. Agroforestry and vegetable farming activities will increase economic benefits and provide opportunities for capacity development. The project will contribute to Nepal’s NDC more generally through its work on three thematic areas of the NDC: Agriculture and Food Security; Forests, Biodiversity and Watershed Conservation; and Water Resources and Energy. It will also contribute through increasing water harvesting and supply, which directly aligns with the NDC measure on promoting rainwater harvesting and ponds construction. Through its focus on agroforestry, it will address the Afforestation and Enhancing Carbon Sequestration program. 
Seeking Experts
The UN Climate Technology Centre and Network (CTCN) is inviting its Network members to assist Nepal. Interested Network members are invited to submit a form, ‘Expression of Interest(EoI)’. For those who are interested, please visit the UNGM Portal (https://www.ungm.org/Public/Notice/170737) and click the blue button ‘Express Interest’ on your top right. All applicants should also be registered (free of charge) at United Nations Global Marketplace (www.ungm.org). 
In case you are not a CTCN network member yet, you may still apply (further details are found in the document).
Please note that this request for expression of interest (EOI) is not an invitation for submission of tenders. Its purpose is to identify companies that would be interested and eligible to participate in the solicitation when issued. Vendors that are deemed qualified upon completion of an objective evaluation of their EOI submission will receive the final tender solicitation documents.
 ",,,"Zero hunger, Clean water and sanitation, Industry, innovation and infrastructure, Climate action, Life on land",
2021000039,"Promoting and upscaling appropriate solar irrigation technology options for smallholder farmers in Ghana through innovative climate adaptation financing mechanisms, a conducive policy framework for technology regulation and tailored training modules",https://www.ctc-n.org/technical-assistance/projects/promoting-and-upscaling-appropriate-solar-irrigation-technology,"Fri, 04/30/2021",Ghana,"Environmental Protection Agency","Environmental Protection Agency",National,Adaptation,,"Economics and financial decision-making, Governance and planning, Innovation & RDD","Community based, Endogenous technologies","Technology identification and prioritisation",Implementation,,"Environmental Protection Agency",,,,,,"Context
Smallholder farmers in Ghana, who rely primarily on rainfed agriculture, are highly vulnerable to the impacts of climate change. In semi-arid northern Ghana, 90% of the population depends on rain-fed agriculture for their livelihoods. The predicted increase in temperature due to climate change could cause a decrease in the length of the wet season, an increase in rainfall intensity (i.e. increased risk of flooding), an increase in the number of dry days per month, and more frequent heatwaves. The fluctuating frequency and volume of rainfall directly affects water availability for agriculture, leading to decreased productivity for smallholder farmers and prolonged periods of food insecurity. The agriculture sector in Ghana employs about 47% of the country’s labour force, most of which are smallholder farmers who produce about 80% of the country’s total food. They are negatively impacted by a reliance on existing agricultural practices that still use rudimentary technology.
Solar powered irrigation systems (SPIS) provide a flexible and renewable energy source that would enable smallholder farmers to access water resources in an efficient manner during periods of water scarcity, benefiting productivity and food security. Rather than solely depending on rainfall for irrigation, smallholder farmers would benefit from irrigation systems that efficiently utilise available surface water and ground water reservoirs. SPIS provides reliable and affordable energy for irrigation especially in remote rural areas where diesel fuel is expensive or where access to electricity from the grid is lacking. As costs for solar powered irrigation systems (SPIS) have dramatically decreased over the past decade, solar technologies are becoming a viable option for smallholder farmers. Although SPIS technology has been widely introduced for agriculture in some countries, it has not as yet fully penetrated the Ghanaian market. Several barriers remain to its uptake, including high capital costs, lack of information and training, the absence of an integrated equipment supply chain and certification standards, access to finance and insufficient enabling policies and institutional frameworks. The government of Ghana has constrained resources, both in meeting the gap between formal and informal irrigation systems but also in the capacity and skills required for solar powered irrigation systems,
CTCN Support
Taking into consideration SPIS that build on any existing hard technology options and soft technology solutions that create an enabling environment to enable the uptake and dissemination of the technology (policy, financing, training), the objective is to provide a sustainable and efficient means of irrigation for smallholder farmers by providing the following:
bankable proof of technology concept, including available technology options best suited to smallholder farmers along with a cost-benefit analysis;
policy and legislature framework for technology standards and certification; 
financing structures targeted at smallholder farmers;
training modules for stakeholders across the supply chain. 
Expected Impact
Obtaining access to a sustainable source of water supply through SPIS could enable women engaged in agricultural practices in Ghana to improve agricultural productivity and food security for their families. In addition, providing solar irrigation solutions at the farm site will increase security for women, who have typically needed to walk long distances to access water, and allow them to spend their time on other activities. In addition, by increasing the productivity of smallholder farmers and targeting women specifically, it is more likely that additional revenue will be spent on healthcare, children’s education and nutritious meals.
Importantly, diesel use would be curtailed, reducing concerns regarding air pollution and other health issues. 
Lastly, the provision of SPIS would contribute to Ghana’s NDC, which references improved water resource management as an adaptation intervention, increased penetration of renewable energy solutions for rural areas, increased agriculture resilience for food security, and increased community-based conservation agriculture.  ",,,"Zero hunger, Good health and well-being, Clean water and sanitation, Industry, innovation and infrastructure, Climate action",
2021000040,"Solar based irrigation for women's empowerment - ""pay as you irrigate"" as a means of water management and food security in Mozambique",https://www.ctc-n.org/technical-assistance/projects/solar-based-irrigation-womens-empowerment-pay-you-irrigate-means,"Fri, 04/30/2021",Mozambique,,,National,Adaptation,,"Economics and financial decision-making, Innovation & RDD","Disaster risk reduction, Endogenous technologies","Technology identification and prioritisation",Implementation,,"Ministry for Science and Technology",,,,,,"Context
Mozambique is vulnerable to climate change and continues to be affected by extreme events such as floods, cyclones and droughts, which have a direct impact on agriculture. Most of the rural population lacks basic food and consumes just one meal per day. Water is scarce. Despite the fact that the country has been gradually introducing solar renewable energy projects into rural communities to provide electricity in rural areas, the agriculture sector has not benefited on a large scale. Photovoltaic systems would be a reliable source of electricity for irrigation purposes, as exemplified in some African countries that have introduced solar systems for crop irrigation. 
This project will introduce solar systems into rural communities for agricultural activities and involve women in the value chain of a business model called “Pay as you irrigate.” Its objective is to ensure that rural farmers can afford the crop field irrigation systems that contribute to offsetting the water deficit imposed by climate change. The end-users will be charged for the amount of water pumped to their farms and this money will be used for system maintenance and to increase crop production and diversification. A controlling mechanism will be used to monitor the amount of water used so that only the amount needed for the crops is provided, thus avoiding wasted water.  
CTCN Support 
Support is requested to obtain the optimal minimal cost configuration to match the PV system, groundwater pump and water distribution system in order to make the best use of solar energy. Statistical tools will be used to analyse the findings and the data analysis results will be disseminated to the public through presentations and publications. 
Expected Results
Ultimately, Mozambique will deploy several solar systems in rural farming areas as means to foster agricultural production, mitigate climate change, generate income, and eliminate famine among farmers and women in particular. 
Twelve women among twenty participants from each province will be trained in designing, implementing and managing solar systems for irrigation. They will then scale-up their knowledge and skills by training other women in their communities, including on topics such as climate change and its impact on agricultural activities, mitigation and adaptation plans. Ultimately, the skills acquired in the trainings will enable them to install small PV systems for multiple purposes in their communities. 
Seeking Experts
The UN Climate Technology Centre and Network (CTCN) is inviting its Network members to assist Mozambique. Interested Network members are invited to submit a form, ‘Expression of Interest(EoI)’. For those who are interested, please visit the UNGM Portal (https://www.ungm.org/Public/Notice/173824) and click the blue button ‘Express Interest’ on your top right. All applicants should also be registered (free of charge) at United Nations Global Marketplace (www.ungm.org). 
In case you are not a CTCN network member yet, you may still apply (further details are found in the document).
Please note that this request for expression of interest (EOI) is not an invitation for submission of tenders. Its purpose is to identify companies that would be interested and eligible to participate in the solicitation when issued. Vendors that are deemed qualified upon completion of an objective evaluation of their EOI submission will receive the final tender solicitation documents.",,,"Zero hunger, Gender equality, Clean water and sanitation, Affordable and clean energy, Climate action",
