Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
Kittyhawk,Efficient Aviation,nan,"tensor(0.5060, device='mps:0')",The next generation of vehicles for everyday flight. Personal electric aircraft,Technologies and practices that reduce fuel consumption and greenhouse gas emissions in the aviation sector.,https://www.kittyhawk.aero
Vertiia,Efficient Aviation,nan,"tensor(0.4968, device='mps:0')","Australian electric aircraft Mission to build a safe aircraft that will ease the burden of traffic congestion on people's lives, will provide greater choice over where people can live and visit, whilst also respecting our environment with its zero carbon emissions and low operating noise levels",Technologies and practices that reduce fuel consumption and greenhouse gas emissions in the aviation sector.,https://www.vertiia.com
Magnuss,Efficient Ocean Shipping,nan,"tensor(0.5828, device='mps:0')","Magnuss designs, develops, and commercializes fuel and emissions reduction technologies for the global shipping industry.",Techniques and technologies that optimize fuel usage and reduce emissions in ocean freight transport.,https://www.magnuss.com
Elroy air,Efficient Ocean Shipping,Airplanes,"tensor(0.5098, device='mps:0')","Expanding the reach of express logistics via air cargo - safely, efficiently and autonomously. Elory Air is improving access to critical goods worldwide by expanding the reach of air cargo with autonomous aircraft. Their efficient hybrid gas-electric powertrain results in long-range flights, lower emissions than traditional aircraft, and zero reliance on expensive battery-charge infrastructure.",Techniques and technologies that optimize fuel usage and reduce emissions in ocean freight transport.,https://www.elroyair.com
Carrypicker,Efficient Ocean Shipping,nan,"tensor(0.4557, device='mps:0')","Carrypicker makes transport easier and more economical, always finding the best carrier and the smartest way to your customers. The disposition of goods in transit is a highly complex process. Numerous, constantly changing influencing factors lead to millions of options with just a few orders, making profitable charge optimization even for experienced dispatchers almost impossible. Carrypicker calculates the best solution in a matter of seconds using high-performance computers and intelligent algorithms - faster and more accurately than any human. The result is a next-generation freight forwarding company for the benefit of customers, hauliers and the environment.",Techniques and technologies that optimize fuel usage and reduce emissions in ocean freight transport.,https://www.carrypicker.com/en/home
Boundary layer,Efficient Ocean Shipping,nan,"tensor(0.4436, device='mps:0')",Boundary Layer Technologies is developing small cargo hydrofoils to compete with air freight.,Techniques and technologies that optimize fuel usage and reduce emissions in ocean freight transport.,https://www.boundarylayer.tech
Convoy,Efficient Ocean Shipping,nan,"tensor(0.3836, device='mps:0')","Convoy is a digital freight network moving millions of truckloads and 
 designing innovative solutions that address supply chain inefficiencies.",Techniques and technologies that optimize fuel usage and reduce emissions in ocean freight transport.,https://www.convoy.com
Bollinger motors,Efficient Trucks,nan,"tensor(0.5717, device='mps:0')","Automotive company designing and engineering Class 3 electric trucks Reinventing trucks not just electrifying them. The most durable, practical electric trucks on the planet. No screens. No plastic. Just truck.",Trucks designed or retrofitted to maximize fuel efficiency and reduce greenhouse gas emissions.,https://www.bollingermotors.com
Orange ev,Efficient Trucks,nan,"tensor(0.5606, device='mps:0')","We build better terminal trucks: Better for the earth, people, and the bottom line. Orange EV's heavy-duty electric trucks are commercially deployed from California to New York, working every day in the most rigorous environments. Orange EV is a Kansas City, Missouri original equipment manufacturer (OEM) that designs and delivers pure electric, industrial-strength vehicles that are better for the earth, people and bottom Line. “Spend 90% less in fuel to haul the same load with zero diesel & emissions” Fleet managers, financial officers, sustainability teams and cost-minded executives choose Orange EV’s pure electric terminal truck solution to improve performance and safety, while reducing cost and eliminating emissions. Orange EV customers operate terminal facilities in a wide range of industries: rail intermodal, distribution, parcel/package delivery, 3PL, trucking, retail, manufacturing, and more. The terminal facility is where cargo trailers are loaded or unloaded and need to be moved around the yard.",Trucks designed or retrofitted to maximize fuel efficiency and reduce greenhouse gas emissions.,https://www.orangeev.com
Aeromutable,Efficient Trucks,nan,"tensor(0.5202, device='mps:0')",Aeromutable engages in the trucking industry that designs and builds aerodynamic-enhancement systems.,Trucks designed or retrofitted to maximize fuel efficiency and reduce greenhouse gas emissions.,https://www.tomkat.stanford.edu/innovation-transfer/aeromutable
Brammo,Efficient Trucks,nan,"tensor(0.4905, device='mps:0')",Brammo designs and develops electric vehicles that enables the automotive industry to cater to the green emission.,Trucks designed or retrofitted to maximize fuel efficiency and reduce greenhouse gas emissions.,https://www.brammo.com
Volta trucks,Efficient Trucks,nan,"tensor(0.4769, device='mps:0')",We're building an electric truck. For today's cities and tomorrow's generations. We're building an all electric truck. For today's cities and tomorrow's generations.,Trucks designed or retrofitted to maximize fuel efficiency and reduce greenhouse gas emissions.,https://www.voltatrucks.com
"Lug
  & carrie",Electric Bicycles,nan,"tensor(0.6467, device='mps:0')",The easiest way to own an electric bicycle We asked people about all the things that worried them about owning a bike and have done our best to take them away.,"Bicycles powered by an electric motor, reducing the need for human pedal power and promoting greener transportation.",https://www.lug-carrie.com
Cowboy,Electric Bicycles,nan,"tensor(0.5526, device='mps:0')",Cowboy is the first connected electric bike that gives people the freedom to take the streets. A new electric bike for urban riders.,"Bicycles powered by an electric motor, reducing the need for human pedal power and promoting greener transportation.",https://www.cowboy.com
Scoot,Electric Bicycles,Electric Vehicles,"tensor(0.5494, device='mps:0')",Electric vehicles for everyone. Let's rethink transportation. Replacing cars with electric vehicles helps to reduce urban congestion and decrease CO2 emissions. Scoot’s shared electric vehicles have quickly become an important part of the urban transportation ecosystem helping riders move around their cities and completing the first or last mile of travel for others.,"Bicycles powered by an electric motor, reducing the need for human pedal power and promoting greener transportation.",https://www.scoot.co
Lit motors,Electric Bicycles,nan,"tensor(0.5213, device='mps:0')",Lit Motors is designing and developing a self-balancing two-wheeled electric vehicle for urban transportation.,"Bicycles powered by an electric motor, reducing the need for human pedal power and promoting greener transportation.",https://www.litmotors.com
Zero motorcycles,Electric Bicycles,nan,"tensor(0.5141, device='mps:0')","Zero Motorcycles creates a superior riding experience with its transformational line of electric powered motorcycles. Zero Motorcycles is the next step in motorcycle evolution. By combining the best aspects of a traditional motorcycle with today’s most advanced technology, Zero produces high-performance electric motorcycles that are lightweight, efficient, fast and fun to ride. Each motorcycle is optimized from the ground up to leverage the revolutionary Z-Force® electric powertrain and uses a specially designed rigid, aircraft-grade aluminum frame to minimize weight. Once a burning idea conceived inside a Santa Cruz, California garage, Zero has rapidly grown into an internationally known motorcycle company. The result is groundbreaking motorcycle innovation that is available for customers to own today. Since 2006, when the first prototypes were produced, Zero has invited motorcyclists to go for a ride. Some things are better experienced than explained.","Bicycles powered by an electric motor, reducing the need for human pedal power and promoting greener transportation.",https://www.zeromotorcycles.com
The mobility house,Electric Cars,nan,"tensor(0.5198, device='mps:0')","Creating a zero-emission energy and mobility future The Mobility House integrates vehicle batteries into the power grid using intelligent charging, energy and storage solutions.","Vehicles powered by electricity stored in batteries, producing zero tailpipe emissions.",https://www.mobilityhouse.com
River simple,Electric Cars,nan,"tensor(0.4929, device='mps:0')","Our goal is personal mobility with zero environmental impact. Hydrogen car manufacturer based in Wales Radically different hydrogen electric car 17 years in the making. Zero-emission, refuels in minutes. Circular business model. Based in Powys, Wales.","Vehicles powered by electricity stored in batteries, producing zero tailpipe emissions.",https://www.riversimple.com
Eiq mobility,Electric Cars,nan,"tensor(0.4915, device='mps:0')",“Zero-Emissions mobility at Zero Risk” for commercial fleets.,"Vehicles powered by electricity stored in batteries, producing zero tailpipe emissions.",https://www.eiqmobility.com
Lightning systems,Electric Cars,nan,"tensor(0.4894, device='mps:0')","Lightning Systems Lighting Systems helps commercial fleets achieve their sustainability goals by converting familiar, proven vehicles from manufacturers such as Ford and GM to zero-emissions battery-electric vans, trucks and buses. Our electric conversions incorporate sophisticated engineering and high-quality components to deliver industry-leading reliability and efficiency. Working closely with our customers, we help them identify their unique commercial electric vehicle, charging, and grant support needs. Our mission is to transform the commercial fleet industry to zero-emissions one vehicle at a time.","Vehicles powered by electricity stored in batteries, producing zero tailpipe emissions.",https://www.lightningsystems.com
Proterra,Electric Cars,nan,"tensor(0.4865, device='mps:0')","Proterra makes zero-emission, battery-electric buses that help eliminate fossil fuel dependency and reduce costs. Proterra is a leader in the design and manufacture of zero-emission electric transit vehicles and Proterra Powered electric vehicle technology solutions for heavy-duty applications. Since 2004, Proterra technology has been proven through more than 8 million miles on the road in our purpose-built electric transit buses.","Vehicles powered by electricity stored in batteries, producing zero tailpipe emissions.",https://www.proterra.com
Karmic bikes,Electric Trains,Electric Bikes,"tensor(0.4782, device='mps:0')",Building the Future of Electric Transportation.,"Rail systems powered by electricity, typically resulting in reduced emissions compared to diesel trains.",https://www.karmic.cc
Union square ventures,Electric Trains,nan,"tensor(0.1792, device='mps:0')",Union Square Ventures is a thesis-driven venture capital firm.,"Rail systems powered by electricity, typically resulting in reduced emissions compared to diesel trains.",https://www.usv.com
Career launcher,Electric Trains,nan,"tensor(0.1607, device='mps:0')","Career Launcher is an education services company, offering test preparation, vocational education, schools, playschools, and more.","Rail systems powered by electricity, typically resulting in reduced emissions compared to diesel trains.",https://www.careerlauncher.ca
Future family,Family Planning and Education,Family Planning,"tensor(0.5553, device='mps:0')","The pathway to parenthood made easy Future Family provides women and couples with personal, affordable, and world class fertility care.","Initiatives to provide access to reproductive health services and education, indirectly reducing population growth and associated emissions.",https://www.futurefamily.com
Extend fertility,Family Planning and Education,Family Planning,"tensor(0.5381, device='mps:0')",Extend Fertility is the first service in the US focused exclusively on women who want to preserve their fertility options through egg freezing.,"Initiatives to provide access to reproductive health services and education, indirectly reducing population growth and associated emissions.",https://www.extendfertility.com
Kindbody,Family Planning and Education,nan,"tensor(0.5337, device='mps:0')","Women’s health, fertility, and wellness. Designed and delivered by women, for women. A new generation of health and fertility care. By women, for all.","Initiatives to provide access to reproductive health services and education, indirectly reducing population growth and associated emissions.",https://www.kindbody.com
Modern fertility,Family Planning and Education,nan,"tensor(0.4526, device='mps:0')","Modern Fertility is a women’s health company making personalized reproductive health information more accessible, earlier in life. We make the same laboratory tests that were previously confined to fertility clinics more accessible for women at home. By arming women with powerful information about their reproductive health, Modern Fertility is closing the fertility information gap and enabling women to own the decisions impacting their bodies and futures.","Initiatives to provide access to reproductive health services and education, indirectly reducing population growth and associated emissions.",https://www.modernfertility.com
Every mother counts,Family Planning and Education,nan,"tensor(0.4306, device='mps:0')","Every Mother Counts Is A Non-Profit Organization Dedicated To Making Pregnancy And Childbirth Safe For Every Mother. ""We're a non-profit organization dedicated to making pregnancy & childbirth safe for every mother. Follow "" @RunTeamEMC for running updates.","Initiatives to provide access to reproductive health services and education, indirectly reducing population growth and associated emissions.",https://www.everymothercounts.org
Rubicon water,Farm Irrigation Efficiency,nan,"tensor(0.5877, device='mps:0')","Developer of water management technology designed to improve water availability, operational efficiency and service to water users. The company's technology helps managers of gravity-fed irrigation networks to manage water resources with unprecedented levels of efficiency and control and deliver water to farmers utilizing existing open channel systems with limited outfalls at the end of channels, enabling water users to improve the operation of gravity-fed irrigation supply networks and management and productivity of water in open channel irrigation distribution.","Methods and technologies that optimize water use in agriculture, reducing waste and energy usage.",https://www.rubiconwater.com
Swiim,Farm Irrigation Efficiency,nan,"tensor(0.5826, device='mps:0')","SWIIM System enables agricultural water users to optimize water rights, conserve water, and increase net incomes of farm operations.","Methods and technologies that optimize water use in agriculture, reducing waste and energy usage.",https://www.swiimsystem.com
Nuleaf tech,Farm Irrigation Efficiency,nan,"tensor(0.5554, device='mps:0')",Compact ecosystems for off-grid water solutions. We use the power of plants to make water treatment and recycling easy.,"Methods and technologies that optimize water use in agriculture, reducing waste and energy usage.",https://www.nuleaftech.com
Ecosoftt,Farm Irrigation Efficiency,nan,"tensor(0.5396, device='mps:0')","Innovation catalysts providing sustainable solutions for water, sanitation and improving livelihoods","Methods and technologies that optimize water use in agriculture, reducing waste and energy usage.",https://www.ecosoftt.org
Rain systems,Farm Irrigation Efficiency,nan,"tensor(0.5350, device='mps:0')","Saving Water. Saving Money. Rain Systems provides a solution that reduces turf irrigation up to 50%. Rain Systems provides a service with our PRECISION INJECTION MACHINES to implant hydrogel into existing turf at root level, while KEEPING YOUR GRASS PRISTINE.","Methods and technologies that optimize water use in agriculture, reducing waste and energy usage.",https://www.rainsystems.com
Community cloud forest conservation,Forest Protection,nan,"tensor(0.6542, device='mps:0')","Community Cloud Forest Conservation alleviates poverty and protects forests through education, reforestation, sustainable development, leadership training, and ecological improvements to agriculture.",Conservation efforts to prevent deforestation and maintain forests as carbon sinks.,https://www.cloudforestconservation.org
Vibrant planet,Forest Protection,nan,"tensor(0.6465, device='mps:0')","Vibrant Planet harnesses data driven science and cloud-based technology to help make communities and ecosystems more resilient in the face of climate change. Forests and agricultural lands could drawdown more than all the carbon humans emit each year. However, past approaches to land management have caused these landscapes to emit more CO2 than they store. We’re on a mission to accelerate global land restoration to flip this trend on its head. Our goal is to help planners and policy makers save lives, avoid trillions of dollars in infrastructure loss, and restore the ability of natural systems to store carbon, deliver clean water, and support biodiversity, local economies, and recreational habits.",Conservation efforts to prevent deforestation and maintain forests as carbon sinks.,https://www.vibrantplanet.net
Rainforest alliance,Forest Protection,nan,"tensor(0.6370, device='mps:0')",The Rainforest Alliance works to conserve biodiversity and ensure sustainable livelihoods by transforming land-use practices.,Conservation efforts to prevent deforestation and maintain forests as carbon sinks.,https://www.rainforest-alliance.org
Offsetra,Forest Protection,nan,"tensor(0.5927, device='mps:0')","Facilitating flows of climate finance across markets to create a more sustainable future We fund high-impact, certified carbon reduction projects. These projects need your support to do stuff like reforestation, forest protection, renewable energy installation, and more.",Conservation efforts to prevent deforestation and maintain forests as carbon sinks.,https://www.offsetra.com
Blue forest conservation,Forest Protection,nan,"tensor(0.5750, device='mps:0')",Blue Forest Conservation is a financial institution that offers sustainable investment solutions.,Conservation efforts to prevent deforestation and maintain forests as carbon sinks.,https://www.blueforestconservation.com
Us geothermal (defunct),Geothermal Power,nan,"tensor(0.5017, device='mps:0')",U.S. Geothermal is a renewable energy development company focused on developing electric power from geothermal energy sources.,Generation of electricity using heat sourced from beneath the Earth's surface.,https://www.usgeothermal.com
"Terracoh, inc.",Geothermal Power,nan,"tensor(0.4466, device='mps:0')",TerraCOH mission is to exponentially expand the global use of geothermal energy; delivering emission-free.,Generation of electricity using heat sourced from beneath the Earth's surface.,https://www.terracoh-age.com
Calpine,Geothermal Power,nan,"tensor(0.4226, device='mps:0')",Calpine Corporation is America’s largest generator of electricity from natural gas and geothermal resources.,Generation of electricity using heat sourced from beneath the Earth's surface.,https://www.calpine.com
Ormat technologies,Geothermal Power,nan,"tensor(0.4106, device='mps:0')",Ormat Technologies engages in the geothermal and recovered energy power business.,Generation of electricity using heat sourced from beneath the Earth's surface.,https://www.ormat.com
Edf france,Geothermal Power,nan,"tensor(0.4099, device='mps:0')","L'énergie est notre avenir, économisons-la ! Électricité de France S.A. is a French electric utility company, largely owned by the French state. Headquartered in Paris, with €71.2 billion in revenues in 2016, EDF operates a diverse portfolio of 120+ gigawatts of generation capacity in Europe, South America, North America, Asia, the Middle East and Africa. In 2009, EDF was the world's largest producer of electricity. In 2011, it produced 22% of the European Union's electricity, primarily from nuclear power: nuclear: 64.3%; renewable energy: 12.3% (includes 4.6% hydroelectricity); gas: 8.6%; coal: 14.5%; other: 0.3%.",Generation of electricity using heat sourced from beneath the Earth's surface.,https://www.edf.fr
Ecology action centre,Grassland Protection,nan,"tensor(0.4595, device='mps:0')",Ecology Action Centre is working on critical environmental issues from biodiversity protection to climate change to environmental justice.,Conservation efforts to preserve grasslands and their role in carbon sequestration.,https://www.ecologyaction.ca/get-involved/volunteer
Carbon neutrality coalition,Grassland Protection,nan,"tensor(0.3805, device='mps:0')",The Carbon Neutrality Coalition brings together a group of pioneering countries that have agreed to develop ambitious climate strategies to meet the long-term objectives of the Paris Agreement.,Conservation efforts to preserve grasslands and their role in carbon sequestration.,https://www.carbon-neutrality.global
Conservation x labs,Grassland Protection,nan,"tensor(0.3142, device='mps:0')",Conservation X Labs is a technology and innovation company that works in the field of conservation.,Conservation efforts to preserve grasslands and their role in carbon sequestration.,https://www.conservationxlabs.com
Trac group holdings,Green and Cool Roofs,nan,"tensor(0.5481, device='mps:0')","Designer and producer of patented, sustainable, solar roofing solution. The company integrates high performance composite materials with solar photo voltaic-thermal technologies to meet the growing worldwide demand for sustainable and energy efficient solutions to building.",Roofs designed with vegetation (green) or reflective materials (cool) to improve building insulation and reduce urban heat islands.,https://www.tractile.com.au
Derbigum,Green and Cool Roofs,nan,"tensor(0.5408, device='mps:0')",Derbigum saving innovative and sustainable solutions for roofs and buildings with the aim of energy and cost.,Roofs designed with vegetation (green) or reflective materials (cool) to improve building insulation and reduce urban heat islands.,https://www.derbigum.com/en/waterproofing/co2-absorbant-roofing
Albedo,Green and Cool Roofs,nan,"tensor(0.4337, device='mps:0')","Dual visible/thermal satellite imagery Albedo is an early-stage company building satellites that will capture both visible and thermal imagery at a resolution 9x higher than what exists today. Albedo's imagery will be used for a number of climate applications, including, carbon emissions from power plants, wildfire prevention around power lines, carbon capture estimation of forests, and many others.",Roofs designed with vegetation (green) or reflective materials (cool) to improve building insulation and reduce urban heat islands.,https://www.albedo.space
Connect homes,Green and Cool Roofs,nan,"tensor(0.3686, device='mps:0')","Smart. Modern. Green. Prefab. Introducing the next generation of housing – beautiful, affordable, modern green homes delivered to your site. Modern prefab homes.",Roofs designed with vegetation (green) or reflective materials (cool) to improve building insulation and reduce urban heat islands.,https://www.connect-homes.com
Tentree,Green and Cool Roofs,nan,"tensor(0.3617, device='mps:0')","Tentree is a lifestyle apparel company. Sustainable clothing company, plants trees with revenue",Roofs designed with vegetation (green) or reflective materials (cool) to improve building insulation and reduce urban heat islands.,https://www.tentree.com
Ren21,Grid Flexibility,nan,"tensor(0.5140, device='mps:0')",Our goal: enable decision-makers to make the transition to renewable energy happen - now.,The ability of a power grid to adapt to variable and unpredictable renewable energy inputs.,https://www.ren21.net
Grid4c,Grid Flexibility,nan,"tensor(0.4948, device='mps:0')",Smart Grid Descriptive Analytics and Grid4C's Smart Grid Predictive Analytics,The ability of a power grid to adapt to variable and unpredictable renewable energy inputs.,https://www.grid4c.com
Hyperlight energy,Grid Flexibility,nan,"tensor(0.4770, device='mps:0')","Hyperlight Energy Renewable Energy, Transformative Economics.",The ability of a power grid to adapt to variable and unpredictable renewable energy inputs.,https://www.hyperlightenergy.com
Weave grid,Grid Flexibility,nan,"tensor(0.4628, device='mps:0')","Innovating at the intersection of electric transportation and the grid Weave Grid works with utilities and electric vehicle (EV) owners to enable and accelerate the electrification of transportation. Using machine learning, optimization, and predictive analytics, our software solution solves several EV-grid integration challenges for utilities in a systems-oriented manner; helps integrate renewable energy resources on the grid; and saves utility customers money on their bills.",The ability of a power grid to adapt to variable and unpredictable renewable energy inputs.,https://www.weavegrid.com
Equinor energy ventures,Grid Flexibility,nan,"tensor(0.4375, device='mps:0')",Investing in renewable energy growth companies,The ability of a power grid to adapt to variable and unpredictable renewable energy inputs.,https://www.equinor.com/en/what-we-do/new-energy-solutions/equinor-energy-ventures.html
Darcy solutions,High-Efficiency Heat Pumps,nan,"tensor(0.5587, device='mps:0')","Darcy Solutions patent-pending approach to ground source heat pumps, the most energy efficient and environmentally friendly heating & cooling technology, cuts installation cost in half while expanding the technology to previously unsuitable sites.",Heat pumps designed to provide heating and cooling with optimal energy usage.,https://www.darcysolutions.com
Airthium,High-Efficiency Heat Pumps,nan,"tensor(0.5431, device='mps:0')","Airthium makes low cost, zero emission, 30kW+ Thermodynamic energy storage systems, as well as high efficiency diesel generators Airthium store solar and wind energy on site and above ground, using MW-scale thermodynamic energy storage modules. Airthium use electricity to power a heat pump and store heat at 500°C (932°F) in low cost materials. The heat pump then becomes a heat engine to convert the heat back into electricity when it's needed.",Heat pumps designed to provide heating and cooling with optimal energy usage.,https://www.airthium.com
Vecarius,High-Efficiency Heat Pumps,nan,"tensor(0.4517, device='mps:0')",Vecarius is a heat recovery solution that markets energy-intensive mobile or portable applications.,Heat pumps designed to provide heating and cooling with optimal energy usage.,https://www.vecarius.com
Tempus energy,High-Efficiency Heat Pumps,nan,"tensor(0.3825, device='mps:0')","Since 2012, Tempus has been pioneering technology to enable Demand Flexibility We predict & adjust energy demand of your flexible devices for a cheaper electricity bill & greater use of renewables. Championing demand flexibility since 2012",Heat pumps designed to provide heating and cooling with optimal energy usage.,https://www.tempusenergy.com
Onyx solar,High-Performance Glass,nan,"tensor(0.6693, device='mps:0')","The world’s leading manufacturer of transparent photovoltaic (PV) glass for buildings Onyx Solar uses PV Glass as a material for building purposes as well as an electricity-generating material, with the aim of capturing the sunlight and turn it into electricity. The panes are made of layers of heat-treated safety glass which can provide the same thermal and sound insulation as conventional architectural glass, not to mention the fact that they also let natural light go through in the same way as conventional glass.Thus the PV glass panes could be installed replacing conventional glass on building facades, curtain walls, atriums, canopies and terrace floors, among other architectural applications.These glass panes could additionally be installed on a wide variety of existing buildings and facilities, therefore contributing to their enhacement both from an aesthetic and energetic point of view. By providing the same thermal insulation as conventional glass, along with the capacity to generate free clean electricity from the sun, it enables buildings to drastically improve their energy efficiency, decrease operation and maintenance costs, and reduce their carbon footprint.",Glass designed with improved insulation and light transmission properties to optimize building energy efficiency.,https://www.onyxsolar.com
Aeroshield,High-Performance Glass,nan,"tensor(0.4675, device='mps:0')","AeroShield is a glass insulation, advanced materials, B2B startup based in Cambridge, Massachusetts. AeroShield manufactures a super-insulating, nanoporous form of glass for energy efficient windows. The AeroShield material can be placed between two panes of glass, similar to a traditional double-pane, to create a product that is 50% more insulating than traditional windows, but with a payback period up to 5 times faster than windows of similar performance. This brings state-of-the-art thermal comfort, durability, and energy savings into homes at a price that consumers can afford.",Glass designed with improved insulation and light transmission properties to optimize building energy efficiency.,https://www.aeroshield.online
Fastned,High-Speed Rail,Electric Cars,"tensor(0.4773, device='mps:0')",Fastned is a fast-charging network for electric vehicles to charge with renewable energy from the sun and wind.,"Fast train systems that offer an alternative to air and road travel, typically with lower emissions.",https://www.fastnedcharging.com/en
Hyperloop one,High-Speed Rail,Hyperloop,"tensor(0.4512, device='mps:0')",Hyperloop Transportation Technologies is a global team that focuses on removing barriers of speed and congestion in travel.,"Fast train systems that offer an alternative to air and road travel, typically with lower emissions.",https://www.hyperloop.global
Hyperloop transportation technologies,High-Speed Rail,Hyperloop,"tensor(0.4512, device='mps:0')",Hyperloop Transportation Technologies is a global team that focuses on removing barriers of speed and congestion in travel.,"Fast train systems that offer an alternative to air and road travel, typically with lower emissions.",https://www.hyperloop.global
Fast cities,High-Speed Rail,nan,"tensor(0.4482, device='mps:0')","Developer of an ultrafast electric vehicle charging network designed to help in adoption of clean and efficient transportation in Australia. The company's network is built on highways, in cities and in every town to facilitate the use of electric vehicles, car sharing and autonomous vehicles, enabling users to avail benefits in terms of productivity, jobs, balance of trade, energy security, health and emissions.","Fast train systems that offer an alternative to air and road travel, typically with lower emissions.",https://www.fastcities.com.au
Evie,High-Speed Rail,nan,"tensor(0.4198, device='mps:0')","Ultra Fast Electric Car Charging Stations EV charging network across the cities, towns and highways of Australia","Fast train systems that offer an alternative to air and road travel, typically with lower emissions.",https://www.goevie.com.au
Community fuels,Hybrid Cars,nan,"tensor(0.5373, device='mps:0')",Community Fuels is an advanced producer of biomass-based diesel fuels.,"Vehicles powered by a combination of gasoline (or diesel) and electricity, often offering improved fuel efficiency.",https://www.communityfuels.com
Motiv power systems,Hybrid Cars,Trucks,"tensor(0.5298, device='mps:0')",Freeing Fleets from Fossil Fuels Motiv is freeing fleets from fossil fuels with our zero-emission all-electric EPIC chassis.,"Vehicles powered by a combination of gasoline (or diesel) and electricity, often offering improved fuel efficiency.",https://www.motivps.com
"Seed to
  diesel",Hybrid Cars,nan,"tensor(0.4891, device='mps:0')",Seed 2 Diesel offers oilseed growers an alternative economic model,"Vehicles powered by a combination of gasoline (or diesel) and electricity, often offering improved fuel efficiency.",https://www.seed2diesel.com
Plug power,Hybrid Cars,nan,"tensor(0.4888, device='mps:0')",Plug Power is a provider of clean hydrogen and zero-emission fuel cell solutions.,"Vehicles powered by a combination of gasoline (or diesel) and electricity, often offering improved fuel efficiency.",https://www.plugpower.com
Electro aero,Hybrid Cars,nan,"tensor(0.4770, device='mps:0')","Electric aircraft engines Our electric propulsion technology can be incorporated in your aircraft from the earliest development stage onward. Our core products include chargers, batteries and software, which collectively comprise the energy management system. Our systems can seamlessly integrate with your choice of propulsor, whether in fixed-wing or eVTOL applications.","Vehicles powered by a combination of gasoline (or diesel) and electricity, often offering improved fuel efficiency.",https://www.electro.aero
Growup urgan farms,Improved Aquaculture,nan,"tensor(0.5666, device='mps:0')","Sustainable food for a local market - we're changing the way we feed people in cities, one salad and one fish at a time.",Techniques and technologies that enhance the sustainability and efficiency of fish and seafood farming.,https://www.growup.org.uk
Finless foods,Improved Aquaculture,Unknown,"tensor(0.5458, device='mps:0')","Finless Foods is an early-stage biotechnology company that is making fish meat out of stem cells. Finless Foods is a food startup working toward a world where everyone has access to healthy, delectable seafood, without the environmental devastation or the health hazards of traditional fishing and aquatic farming. They use cutting-edge cellular-agriculture technologies to grow marine-animal cells, creating fish and seafood products enjoyed around the world. This means the world can enjoy fresh, sustainable seafood at affordable prices, without catching or farming the species on which they’re based.",Techniques and technologies that enhance the sustainability and efficiency of fish and seafood farming.,https://www.finlessfoods.com
Dock to dish,Improved Aquaculture,nan,"tensor(0.5291, device='mps:0')","Dock to Dish programs connect small-scale fisheries to their nearest 
 regional communities in sustainable seafood sourcing cooperatives. Know 
 Your Fisher®",Techniques and technologies that enhance the sustainability and efficiency of fish and seafood farming.,https://www.docktodish.com
Greenwave,Improved Aquaculture,nan,"tensor(0.5206, device='mps:0')","We are Ocean Farmers creating jobs and protecting the planet GreenWave supports a new generation of ocean farmers feeding the planet and building a blue-green economy in the era of climate change. GreenWave’s strategy for scale is to seed ""GreenWave Reefs"" in new regions. Each Reef is composed of 50 regenerative ocean farms, clustered around a processing hub and a land-based hatchery, surrounded by a ring of institutional buyers and entrepreneurs. Our goal is to plant 1 million acres of seaweed and shellfish in the next 10 years.",Techniques and technologies that enhance the sustainability and efficiency of fish and seafood farming.,https://www.greenwave.org
Xpertsea,Improved Aquaculture,nan,"tensor(0.5100, device='mps:0')","Our AI-driven data management platform offers real-time insights making aquaculture more efficient and sustainable. XpertSea is an aquaculture technology company that's transforming how the global aquaculture industry farms seafood to help feed the world. Their mission is to develop technologies that transform aquaculture into a modern, efficient and sustainable source of food for our planet. Through research and development of advanced technologies such as AI and computer vision, we’re increasing the availability of quality food, reducing the environmental impact of food production, and improving profitability across the aquaculture food chain.",Techniques and technologies that enhance the sustainability and efficiency of fish and seafood farming.,https://www.xpertsea.com
Good algae,Improved Cattle Feed,nan,"tensor(0.6797, device='mps:0')",Seaweed/Algea for methane reduction in livestock.,Feeding practices or additives that reduce methane emissions from cattle digestion.,https://www.goodalgae.com
Mootral,Improved Cattle Feed,nan,"tensor(0.6088, device='mps:0')",Mootral develops innovative carbon reduction solutions for companies and governments. Its first solution is a natural feed supplement that significantly reduces methane emissions from ruminants.,Feeding practices or additives that reduce methane emissions from cattle digestion.,https://www.mootral.com
Alga biosciences,Improved Cattle Feed,Conservation Agriculture,"tensor(0.5541, device='mps:0')",Alga Biosciences is eliminating enteric methane emissions at scale.,Feeding practices or additives that reduce methane emissions from cattle digestion.,https://www.alga.bio
Perfect day,Improved Cattle Feed,Plant-Rich Diet,"tensor(0.3899, device='mps:0')","Making protein with the magic of flora - that's Dairy Made Perfect. Perfect Day makes milk protein that is nutritionally identical to protein from cow's milk, but made using flora fermentation instead of animals. They're working with food and dairy companies to deliver high-quality protein and products that are delicious, nourishing, sustainable, and humane.",Feeding practices or additives that reduce methane emissions from cattle digestion.,https://www.perfectdayfoods.com
Better nature,Improved Cattle Feed,nan,"tensor(0.3213, device='mps:0')","Protein, the better way. Meat subsitute brand using tempeh",Feeding practices or additives that reduce methane emissions from cattle digestion.,https://www.betternaturefoods.co/tempeh
